t,X_obs,Y_obs,Z_obs,X_true,Y_true,Z_true
14.826,-14.188180287357966,-18.165780770454617,28.23322748255482,-13.464510971557711,-18.18199414410184,28.00039439304207
14.827,-12.849886048480627,-19.921207169231216,30.244505999599575,-13.511356293920764,-18.162667855900796,28.170610433904333
14.828000000000001,-12.09790668931962,-15.74282634135472,24.5272545568451,-13.55753180824165,-18.14105345849664,28.340940593906645
14.829,-13.433053046893777,-20.215004607715038,27.14327113472758,-13.603021338414019,-18.11713645392013,28.51133925971442
14.83,-14.376498403139417,-19.696639953329033,28.535288290591172,-13.647808730265904,-18.090903329651738,28.681760188131577
14.831,-12.897171523986595,-16.4350987290296,29.88047936785233,-13.691877862304144,-18.062341585555224,28.85215653402342
14.832,-13.71357832172566,-19.030719218167473,29.45940598256695,-13.73521265246589,-18.031439754336343,29.022480867118148
14.833,-13.908165209481366,-15.730637209411498,31.97350787201359,-13.777797070263896,-17.998187433197373,29.192685204044654
14.834,-13.346661476383527,-21.951469583443494,26.48108876229607,-13.819615147963884,-17.962575308662853,29.36272103972818
14.835,-14.844665934835707,-16.02957355180244,28.19520567614287,-13.86065098777204,-17.9245951757243,29.532539366905397
14.836,-14.064956349246398,-16.76027272101732,31.545360505628647,-13.90088877461072,-17.884239966856583,29.702090712590554
14.837,-13.291840062108827,-15.195133923203395,25.37588571341891,-13.94031278740578,-17.841503773831956,29.871325172048856
14.838000000000001,-13.180807809215358,-16.626218761176688,31.4009738682097,-13.978907406759744,-17.796381865451796,30.04019243121601
14.839,-10.248241118209664,-15.416203131232944,29.57399766568078,-14.016657128367344,-17.748870713354872,30.208641807802774
14.84,-12.084781780505654,-14.864523633034485,34.61924682743728,-14.053546574090882,-17.698968010160183,30.376622286779376
14.841000000000001,-10.565395633872432,-18.573699108038127,30.697759349005707,-14.089560500192848,-17.646672685597398,30.54408254600955
14.842,-15.693641368654797,-20.680450613689267,30.395487995644128,-14.12468381132425,-17.59198492839484,30.71097100197505
14.843,-11.315690206262312,-17.042813149454425,29.414254039116713,-14.15890157109187,-17.534906200390065,30.877235845620298
14.844000000000001,-13.799635008812134,-17.49413646266636,29.866293275603383,-14.192199010948977,-17.47543925073768,31.042825071652622
14.845,-14.48713603618699,-17.06243724089757,30.91821313902355,-14.224561544582853,-17.413588133071723,31.2076865284893
14.846,-14.54067053266612,-14.40298871645058,34.764500042749624,-14.255974777753403,-17.34935821555881,31.37176795342191
14.847,-15.216297024726984,-17.93157664085686,30.138955664588767,-14.28642451793259,-17.282756192642264,31.53501700608741
14.848,-16.5922325761175,-17.375506589716213,33.090783358063064,-14.315896788798199,-17.213790096712486,31.69738132174262
14.849,-14.368079487764566,-18.552405704193454,32.07288590707261,-14.344377839268533,-17.142469304377997,31.858808545122923
14.85,-13.493409164233732,-15.351698523061291,30.86309312467879,-14.371854153890697,-17.068804544910115,32.019246368355226
14.851,-14.56387756287196,-22.776056618622857,32.57564325125541,-14.398312467066166,-16.992807905904385,32.178642586214366
14.852,-15.308399959632288,-18.197795657495632,33.80461245839476,-14.423739771394994,-16.914492836159184,32.336945128728225
14.853,-13.967916447966962,-16.842920131127496,30.95174955641665,-14.448123328639529,-16.833874149758508,32.4941021032322
14.854000000000001,-12.51353336607202,-20.835646876206553,29.86924758123334,-14.471450683345271,-16.75096802562095,32.650061850200395
14.855,-15.59498233928777,-19.85865185856101,33.46191930203949,-14.493709670523506,-16.66579200725846,32.80477297431794
14.856,-14.57882473527842,-18.730908537552136,36.31331865967331,-14.514888427337006,-16.57836500131396,32.95818439181458
14.857000000000001,-12.56549571564614,-14.372660629002942,37.433292616306666,-14.534975405293839,-16.488707271473313,33.11024538314887
14.858,-14.928018284304478,-16.83934887530202,36.74252789796999,-14.55395937773113,-16.396840435071187,33.26090562417348
